@RELATION ontolo_new_trop

@ATTRIBUTE cooc NUMERIC
@ATTRIBUTE lesk NUMERIC
@ATTRIBUTE relation {"ant","tmp","ent","pre"}
@ATTRIBUTE correct {"+","-"}


@DATA
0.15789473684210525,0,tmp,-
0,0,ant,-
0.041666666666666664,0,ant,-
0.04477611940298507,0,ant,-
0,2,ent,-
0,1,pre,-
0,2,tmp,-
0.02952755905511811,1,ent,-
0,1,ent,-
0.12440191387559808,0,ent,-
0,2,ant,-
0,2,pre,-
0.00596252129471891,0,ent,-
0,1,ant,-
0,1,ant,-
0,0,ent,-
0,0,ant,-
0,1,ant,-
0.12244897959183673,2,pre,-
0.09090909090909091,0,ant,-
0,0,tmp,-
0,0,ant,-
0.011844331641285956,0,ent,-
0,0,ent,-
0,0,ent,-
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
1.0,1,ent,+
0.1111111111111111,0,ent,-
0.11627906976744186,0,ant,-
0.1111111111111111,1,ent,-
0,4,ent,-
0,2,ant,-
0,1,ant,-
0,0,ant,-
0,1,ent,-
0,2,pre,-
1.0,0,tmp,-
0.06666666666666667,0,ant,-
0.030261348005502064,0,ent,-
0.003431185665268776,0,ent,-
0,0,tmp,-
0,0,ant,-
0.004310344827586207,1,pre,-
0.04514363885088919,0,pre,-
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
