@RELATION ontolo

@ATTRIBUTE cooc NUMERIC
@ATTRIBUTE lesk NUMERIC
@ATTRIBUTE relation {"ant","tmp","ent","pre"}
@ATTRIBUTE correct {"+","-"}


@DATA
0,0,tmp,-
0,1,tmp,-
0,1,ant,-
0,1,tmp,-
0,0,tmp,-
0,2,ant,-
0,0,tmp,-
0,0,ant,-
0,1,ant,-
0,2,ant,-
0,2,ant,-
0,1,ant,-
0,0,ent,-
0,2,ent,-
0,0,ent,-
0,0,ent,-
0,0,ent,-
0,0,pre,-
0.17857142857142858,3,ant,-
0,0,pre,-
0.36191425722831505,1,ent,-
0.06884057971014493,1,pre,-
0.25,0,pre,-
0.1111111111111111,0,ent,-
0,3,tmp,-
0.02127659574468085,0,ant,-
0.06666666666666667,0,ant,-
0,0,ant,-
0,0,ant,-
0.18124606670862178,0,ent,-
0,3,ent,-
0,1,tmp,-
0.061224489795918366,0,ent,-
0,0,ant,-
0,2,ant,-
0,1,ent,-
0.07142857142857142,0,ent,-
0.04,0,ant,-
0,0,ant,-
0,0,pre,-
0.026785714285714284,1,ent,-
0,0,ent,-
0,0,ant,-
3.951219512195122,0,ent,-
0.05019305019305019,0,pre,-
0,0,tmp,-
0,0,ant,-
0,0,tmp,-
0,0,pre,-
0.06218181818181818,0,pre,-
0.23228346456692914,2,ent,-
0,0,ant,-
0,2,ent,-
0,1,ent,-
0.6666666666666666,0,tmp,-
0,1,ant,-
0,0,pre,-
0,0,ant,-
2.122860020140987,2,ent,-
0.041666666666666664,1,ant,-
0,1,ant,-
0,0,ant,-
0.16666666666666666,0,ant,-
0.12264150943396226,0,ent,-
0,0,ant,-
0,0,pre,-
0,0,pre,-
0,0,ant,-
0,1,ant,-
0,0,pre,-
0.22291853178155774,0,pre,-
0,0,tmp,-
0,2,tmp,-
0,0,pre,-
0,0,ant,-
0,0,ant,-
0,0,pre,+
0.048392554991539764,0,ent,-
0,1,ant,-
0.05555555555555555,0,ent,-
0.046153846153846156,1,ant,-
0,0,ant,-
0.06666666666666667,0,ant,-
0,0,ant,-
0,0,ant,-
0,2,tmp,-
0,0,ant,-
0,1,ent,-
0.0196078431372549,1,ant,-
0.16666666666666666,0,ant,-
1.4357142857142857,0,pre,-
0.021712907117008445,0,ent,-
0.05263157894736842,0,ent,-
0,1,ent,-
0.035239745811669554,0,ent,-
0,0,ant,-
0,3,tmp,-
0,0,ant,-
0,0,pre,-
0,1,ent,-
0,0,ent,-
0,0,ent,-
0,2,ant,-
0,2,tmp,-
0,1,ant,-
0.1111111111111111,0,pre,-
1.7159090909090908,2,ent,-
0,0,ant,-
0,1,tmp,-
0,2,ant,-
0.25,3,pre,-
0,2,tmp,-
0,0,ent,-
0,1,ent,-
0,1,ant,-
0.007722007722007722,1,ent,-
0.046153846153846156,0,ant,-
0,0,ent,-
0.12264150943396226,1,ent,-
0,1,ent,-
0,2,tmp,-
0.016483516483516484,0,ant,-
0,0,ant,-
0.3,2,ant,-
0,0,ant,-
0,2,ant,-
0,0,ant,-
0.16666666666666666,0,ant,-
0,0,ant,-
0.00819672131147541,0,pre,-
0,2,ent,-
0,0,ant,-
0,0,tmp,-
0,0,ant,-
21.0,1,ent,+
0,0,ant,-
0,0,ant,-
0.001040582726326743,1,ent,-
0.02457002457002457,1,ent,-
0.0196078431372549,1,ant,-
0,0,tmp,-
0,0,ent,-
0.043478260869565216,1,pre,-
0,1,ant,-
0,0,ant,-
0,0,ant,-
0,0,ent,-
0,1,ant,-
0,2,ant,-
0,0,pre,-
0,1,ant,-
0,1,pre,-
0,2,ant,-
0,0,pre,-
0,1,ent,-
0.0380952380952381,0,ant,-
0.0358883473637572,2,ent,-
0,0,ant,-
0.1111111111111111,0,ent,-
0,1,ant,-
0,0,ant,-
0,0,tmp,-
0,1,ant,-
0,0,ant,-
0,2,tmp,-
0,0,ant,-
0,2,ant,-
0.2631578947368421,0,pre,-
0,0,ent,-
0,1,pre,-
0,1,ant,-
0,0,ent,-
0,0,tmp,-
0.006825938566552901,0,ent,-
0,2,ant,-
0.04411764705882353,1,ant,-
0,0,ant,-
0.24914089347079038,3,pre,-
0,0,ant,-
0.018518518518518517,5,ant,-
